INFO  - 2013-11-22 01:20:10.412; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/analysis-extras/lucene-libs/lucene-analyzers-smartcn-4.3.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.413; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/analysis-extras/lucene-libs/lucene-analyzers-stempel-4.3.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.426; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/analysis-extras/lucene-libs/lucene-analyzers-icu-4.3.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.427; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/analysis-extras/lucene-libs/lucene-analyzers-morfologik-4.3.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.427; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-11-22 01:20:10.427; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-11-22 01:20:10.428; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-11-22 01:20:10.428; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr/blacklight-core/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-11-22 01:20:10.532; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2013-11-22 01:20:10.607; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2013-11-22 01:20:10.792; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-11-22 01:20:10.797; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-11-22 01:20:10.807; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
